battery_id,cycle,voltage,temperature,capacity,soh,rul
SYN0001,1,3.7038,29.32,2.1861,1.0,26
SYN0001,2,3.6897,29.98,2.1706,0.9929,25
SYN0001,3,3.6928,30.22,2.1706,0.9929,24
SYN0001,4,3.69,30.94,2.1716,0.9934,23
SYN0001,5,3.7069,31.1,2.1438,0.9806,22
SYN0001,6,3.6859,31.5,2.1352,0.9767,21
SYN0001,7,3.6785,30.6,2.1465,0.9819,20
SYN0001,8,3.6926,30.05,2.129,0.9739,19
SYN0001,9,3.6661,29.63,2.1069,0.9638,18
SYN0001,10,3.681,28.79,2.1094,0.9649,17
SYN0001,11,3.654,28.26,2.0898,0.956,16
SYN0001,12,3.6579,27.46,2.0812,0.952,15
SYN0001,13,3.673,27.01,2.0804,0.9516,14
SYN0001,14,3.6695,27.29,2.0482,0.9369,13
SYN0001,15,3.6621,27.01,2.0417,0.9339,12
SYN0001,16,3.6603,26.76,2.0458,0.9358,11
SYN0001,17,3.6548,26.17,2.0323,0.9297,10
SYN0001,18,3.6446,25.71,2.0383,0.9324,9
SYN0001,19,3.6462,26.58,2.0163,0.9223,8
SYN0001,20,3.6449,26.88,2.0022,0.9159,7
SYN0001,21,3.6664,27.1,2.0252,0.9264,6
SYN0001,22,3.6518,26.44,1.9981,0.914,5
SYN0001,23,3.6293,26.9,1.9927,0.9115,4
SYN0001,24,3.6433,26.22,1.9678,0.9001,3
SYN0001,25,3.6365,25.98,1.9688,0.9006,2
SYN0001,26,3.6332,26.96,1.9674,0.9,1
SYN0001,27,3.64,27.24,1.9451,0.8897,0
SYN0002,1,3.7036,39.5,2.0228,1.0,15
SYN0002,2,3.7154,40.05,2.0228,1.0,14
SYN0002,3,3.6931,39.51,2.0007,0.9891,13
SYN0002,4,3.7094,38.57,2.0016,0.9895,12
SYN0002,5,3.6681,38.21,2.0035,0.9905,11
SYN0002,6,3.7031,37.74,2.0055,0.9915,10
SYN0002,7,3.69,37.16,1.9863,0.982,9
SYN0002,8,3.6857,38.05,1.9847,0.9812,8
SYN0002,9,3.6855,38.8,1.9709,0.9744,7
SYN0002,10,3.6631,38.43,1.9655,0.9717,6
SYN0002,11,3.6855,38.74,1.9813,0.9795,5
SYN0002,12,3.6916,38.53,1.9823,0.98,4
SYN0002,13,3.6971,39.36,1.9633,0.9706,3
SYN0002,14,3.6791,39.28,1.9696,0.9737,2
SYN0002,15,3.6729,38.81,1.9586,0.9683,1
SYN0002,16,3.6716,45.83,1.9439,0.961,0
SYN0003,1,3.6993,30.46,2.0245,1.0,22
SYN0003,2,3.6763,31.26,2.0094,0.9925,21
SYN0003,3,3.6899,31.05,1.9915,0.9837,20
SYN0003,4,3.6912,30.49,1.9929,0.9843,19
SYN0003,5,3.7113,31.49,1.9794,0.9777,18
SYN0003,6,3.6846,31.51,1.979,0.9775,17
SYN0003,7,3.6818,30.69,1.9529,0.9646,16
SYN0003,8,3.6768,29.78,1.9475,0.9619,15
SYN0003,9,3.6625,29.0,1.9376,0.957,14
SYN0003,10,3.6797,29.26,1.9175,0.9471,13
SYN0003,11,3.6783,29.84,1.9261,0.9514,12
SYN0003,12,3.6759,29.69,1.9165,0.9466,11
SYN0003,13,3.6554,28.81,1.9047,0.9408,10
SYN0003,14,3.6751,28.58,1.8931,0.9351,9
SYN0003,15,3.6407,29.57,1.8719,0.9246,8
SYN0003,16,3.6609,29.63,1.8727,0.925,7
SYN0003,17,3.6744,30.57,1.8643,0.9209,6
SYN0003,18,3.6385,31.29,1.8504,0.914,5
SYN0003,19,3.6419,30.31,1.8477,0.9127,4
SYN0003,20,3.6475,30.76,1.8442,0.9109,3
SYN0003,21,3.6432,31.12,1.85,0.9138,2
SYN0003,22,3.6249,31.19,1.8234,0.9007,1
SYN0003,23,3.6386,30.73,1.8151,0.8965,0
SYN0004,1,3.6925,25.22,2.0344,1.0,36
SYN0004,2,3.6925,25.12,2.0391,1.0023,35
SYN0004,3,3.6857,26.03,2.0137,0.9898,34
SYN0004,4,3.6973,26.78,2.028,0.9969,33
SYN0004,5,3.6912,26.31,1.9929,0.9796,32
SYN0004,6,3.6887,26.31,1.9866,0.9765,31
SYN0004,7,3.6944,25.67,1.9872,0.9768,30
SYN0004,8,3.6768,26.49,1.9551,0.961,29
SYN0004,9,3.6923,27.24,1.959,0.963,28
SYN0004,10,3.6751,26.83,1.9591,0.963,27
SYN0004,11,3.6929,27.11,1.918,0.9428,26
SYN0004,12,3.6741,27.33,1.9254,0.9464,25
SYN0004,13,3.6562,26.63,1.9151,0.9413,24
SYN0004,14,3.6524,27.16,1.9094,0.9385,23
SYN0004,15,3.6586,27.24,1.8775,0.9229,22
SYN0004,16,3.648,27.79,1.8656,0.917,21
SYN0004,17,3.6597,27.86,1.8734,0.9209,20
SYN0004,18,3.6533,26.86,1.8601,0.9143,19
SYN0004,19,3.6444,26.5,1.8485,0.9086,18
SYN0004,20,3.6337,25.54,1.8384,0.9037,17
SYN0004,21,3.6207,26.4,1.8168,0.893,16
SYN0004,22,3.6309,27.16,1.8151,0.8922,15
SYN0004,23,3.6408,27.82,1.8046,0.8871,14
SYN0004,24,3.6281,27.44,1.7832,0.8765,13
SYN0004,25,3.618,26.55,1.7987,0.8841,12
SYN0004,26,3.6247,27.31,1.7733,0.8716,11
SYN0004,27,3.6185,28.2,1.7451,0.8578,10
SYN0004,28,3.6082,27.37,1.753,0.8617,9
SYN0004,29,3.6103,27.35,1.7251,0.848,8
SYN0004,30,3.6115,26.49,1.7322,0.8515,7
SYN0004,31,3.5973,27.01,1.7249,0.8479,6
SYN0004,32,3.603,27.54,1.6935,0.8324,5
SYN0004,33,3.6072,26.79,1.7008,0.836,4
SYN0004,34,3.6075,26.75,1.684,0.8278,3
SYN0004,35,3.6052,26.84,1.6772,0.8244,2
SYN0004,36,3.5809,26.38,1.6771,0.8244,1
SYN0004,37,3.5755,27.12,1.644,0.8081,0
SYN0005,1,3.6931,28.88,1.9648,1.0,88
SYN0005,2,3.7061,29.34,1.9553,0.9951,87
SYN0005,3,3.6973,28.74,1.9458,0.9903,86
SYN0005,4,3.7094,28.36,1.9691,1.0022,85
SYN0005,5,3.6948,29.35,1.9273,0.9809,84
SYN0005,6,3.679,29.65,1.9233,0.9789,83
SYN0005,7,3.6783,29.53,1.912,0.9731,82
SYN0005,8,3.6875,29.56,1.8995,0.9668,81
SYN0005,9,3.6803,28.8,1.8805,0.9571,80
SYN0005,10,3.6744,28.25,1.8815,0.9576,79
SYN0005,11,3.6682,27.93,1.8569,0.9451,78
SYN0005,12,3.6785,28.11,1.8527,0.9429,77
SYN0005,13,3.6562,27.57,1.8407,0.9368,76
SYN0005,14,3.6664,27.01,1.8368,0.9348,75
SYN0005,15,3.6627,26.15,1.8492,0.9412,74
SYN0005,16,3.647,26.41,1.7985,0.9154,73
SYN0005,17,3.665,25.87,1.8141,0.9233,72
SYN0005,18,3.6524,26.68,1.782,0.907,71
SYN0005,19,3.6528,27.4,1.7837,0.9078,70
SYN0005,20,3.6595,26.54,1.7895,0.9108,69
SYN0005,21,3.6407,26.02,1.7699,0.9008,68
SYN0005,22,3.641,26.36,1.7492,0.8903,67
SYN0005,23,3.6292,25.78,1.7432,0.8872,66
SYN0005,24,3.6369,25.05,1.7474,0.8894,65
SYN0005,25,3.6252,25.92,1.724,0.8775,64
SYN0005,26,3.6274,26.06,1.7238,0.8774,63
SYN0005,27,3.6289,26.01,1.7126,0.8716,62
SYN0005,28,3.6098,26.58,1.6962,0.8633,61
SYN0005,29,3.6444,27.19,1.7142,0.8725,60
SYN0005,30,3.606,26.57,1.6898,0.8601,59
SYN0005,31,3.593,25.77,1.6541,0.8419,58
SYN0005,32,3.6205,25.63,1.6664,0.8481,57
SYN0005,33,3.6113,25.47,1.6485,0.839,56
SYN0005,34,3.6113,25.41,1.6539,0.8418,55
SYN0005,35,3.6035,25.87,1.6282,0.8287,54
SYN0005,36,3.5962,26.21,1.6253,0.8272,53
SYN0005,37,3.5863,27.18,1.6219,0.8255,52
SYN0005,38,3.5942,26.38,1.616,0.8225,51
SYN0005,39,3.5776,26.18,1.5861,0.8073,50
SYN0005,40,3.5938,25.86,1.5851,0.8067,49
SYN0005,41,3.5792,26.59,1.5742,0.8012,48
SYN0005,42,3.569,26.08,1.5629,0.7955,47
SYN0005,43,3.5784,25.46,1.5772,0.8027,46
SYN0005,44,3.5788,25.36,1.5543,0.7911,45
SYN0005,45,3.5611,25.2,1.5284,0.7779,44
SYN0005,46,3.5621,24.76,1.5403,0.7839,43
SYN0005,47,3.5735,24.26,1.5426,0.7851,42
SYN0005,48,3.5673,25.11,1.5224,0.7748,41
SYN0005,49,3.5492,24.99,1.4877,0.7572,40
SYN0005,50,3.5498,25.72,1.4884,0.7575,39
SYN0005,51,3.5592,25.82,1.4961,0.7615,38
SYN0005,52,3.5336,24.92,1.4672,0.7467,37
SYN0005,53,3.5345,25.92,1.469,0.7476,36
SYN0005,54,3.5395,26.59,1.4627,0.7445,35
SYN0005,55,3.5365,27.53,1.4364,0.7311,34
SYN0005,56,3.5415,28.38,1.4355,0.7306,33
SYN0005,57,3.5406,29.08,1.3946,0.7098,32
SYN0005,58,3.5382,28.41,1.4069,0.7161,31
SYN0005,59,3.5274,28.38,1.405,0.7151,30
SYN0005,60,3.523,27.81,1.3857,0.7052,29
SYN0005,61,3.5189,27.61,1.4045,0.7148,28
SYN0005,62,3.5166,26.73,1.3648,0.6946,27
SYN0005,63,3.514,26.49,1.3651,0.6948,26
SYN0005,64,3.5189,27.46,1.3612,0.6928,25
SYN0005,65,3.5084,26.99,1.3645,0.6945,24
SYN0005,66,3.5103,27.56,1.3267,0.6752,23
SYN0005,67,3.5254,27.47,1.3428,0.6834,22
SYN0005,68,3.5026,27.31,1.3219,0.6728,21
SYN0005,69,3.5018,28.23,1.3026,0.663,20
SYN0005,70,3.5061,29.22,1.3073,0.6654,19
SYN0005,71,3.4915,29.33,1.2952,0.6592,18
SYN0005,72,3.4924,29.77,1.2778,0.6503,17
SYN0005,73,3.4894,29.07,1.2749,0.6489,16
SYN0005,74,3.486,28.67,1.2609,0.6417,15
SYN0005,75,3.4759,29.61,1.2563,0.6394,14
SYN0005,76,3.4826,29.76,1.2521,0.6373,13
SYN0005,77,3.4872,29.85,1.2517,0.6371,12
SYN0005,78,3.4854,30.34,1.2144,0.6181,11
SYN0005,79,3.4877,29.46,1.2381,0.6301,10
SYN0005,80,3.4844,29.63,1.1883,0.6048,9
SYN0005,81,3.4577,29.63,1.1965,0.609,8
SYN0005,82,3.4734,30.34,1.1943,0.6078,7
SYN0005,83,3.4627,29.65,1.1817,0.6015,6
SYN0005,84,3.4771,30.57,1.1633,0.5921,5
SYN0005,85,3.4455,29.73,1.1579,0.5893,4
SYN0005,86,3.4414,29.11,1.1455,0.583,3
SYN0005,87,3.4406,29.3,1.1351,0.5777,2
SYN0005,88,3.4268,29.65,1.1397,0.5801,1
SYN0005,89,3.4384,29.12,1.1254,0.5728,0
SYN0006,1,3.6975,18.62,1.8389,1.0,37
SYN0006,2,3.7118,18.81,1.8453,1.0035,36
SYN0006,3,3.7084,19.05,1.845,1.0033,35
SYN0006,4,3.7166,18.88,1.848,1.0049,34
SYN0006,5,3.6928,19.05,1.8465,1.0042,33
SYN0006,6,3.7041,19.1,1.8304,0.9954,32
SYN0006,7,3.7062,19.97,1.8254,0.9926,31
SYN0006,8,3.6815,19.37,1.8362,0.9985,30
SYN0006,9,3.6812,19.81,1.8174,0.9883,29
SYN0006,10,3.6814,19.28,1.8445,1.003,28
SYN0006,11,3.6965,19.08,1.8364,0.9987,27
SYN0006,12,3.7007,19.42,1.8192,0.9893,26
SYN0006,13,3.7042,19.02,1.8056,0.9819,25
SYN0006,14,3.6985,18.65,1.8319,0.9962,24
SYN0006,15,3.7089,19.16,1.8163,0.9877,23
SYN0006,16,3.6822,18.3,1.8268,0.9934,22
SYN0006,17,3.6698,18.22,1.7986,0.9781,21
SYN0006,18,3.6886,19.21,1.8057,0.982,20
SYN0006,19,3.6942,20.21,1.8093,0.9839,19
SYN0006,20,3.6895,19.35,1.8076,0.983,18
SYN0006,21,3.667,18.78,1.801,0.9794,17
SYN0006,22,3.6893,18.31,1.8089,0.9837,16
SYN0006,23,3.6714,19.18,1.7912,0.9741,15
SYN0006,24,3.6933,19.94,1.7977,0.9776,14
SYN0006,25,3.6903,20.7,1.7981,0.9778,13
SYN0006,26,3.6778,20.44,1.7997,0.9787,12
SYN0006,27,3.682,19.75,1.7995,0.9786,11
SYN0006,28,3.6703,20.42,1.7805,0.9682,10
SYN0006,29,3.6784,20.83,1.7746,0.9651,9
SYN0006,30,3.6964,21.05,1.7986,0.9781,8
SYN0006,31,3.6735,22.02,1.7878,0.9722,7
SYN0006,32,3.6844,22.33,1.7758,0.9657,6
SYN0006,33,3.6804,21.35,1.795,0.9761,5
SYN0006,34,3.6728,21.98,1.7797,0.9678,4
SYN0006,35,3.6822,21.58,1.7875,0.972,3
SYN0006,36,3.6689,21.91,1.7752,0.9653,2
SYN0006,37,3.679,22.78,1.7915,0.9743,1
SYN0006,38,3.671,22.05,1.7867,0.9716,0
SYN0007,1,3.6892,29.36,1.8462,1.0,26
SYN0007,2,3.7105,28.91,1.8265,0.9894,25
SYN0007,3,3.697,29.12,1.8097,0.9803,24
SYN0007,4,3.6876,29.55,1.8082,0.9794,23
SYN0007,5,3.6982,28.96,1.7952,0.9724,22
SYN0007,6,3.6806,29.23,1.7842,0.9664,21
SYN0007,7,3.6705,28.76,1.7819,0.9652,20
SYN0007,8,3.6915,28.73,1.7732,0.9605,19
SYN0007,9,3.6746,29.54,1.7514,0.9486,18
SYN0007,10,3.6554,30.24,1.741,0.943,17
SYN0007,11,3.6616,29.42,1.7337,0.9391,16
SYN0007,12,3.6454,29.27,1.705,0.9236,15
SYN0007,13,3.6394,28.82,1.7023,0.9221,14
SYN0007,14,3.6679,27.83,1.7189,0.9311,13
SYN0007,15,3.6753,28.37,1.7115,0.9271,12
SYN0007,16,3.6333,28.64,1.684,0.9122,11
SYN0007,17,3.6522,28.17,1.6817,0.9109,10
SYN0007,18,3.636,28.65,1.6692,0.9042,9
SYN0007,19,3.6427,28.75,1.6848,0.9126,8
SYN0007,20,3.6325,28.61,1.6567,0.8974,7
SYN0007,21,3.6228,27.63,1.6352,0.8857,6
SYN0007,22,3.6262,26.78,1.6176,0.8762,5
SYN0007,23,3.6122,27.55,1.6016,0.8675,4
SYN0007,24,3.6254,28.35,1.6083,0.8711,3
SYN0007,25,3.6161,28.44,1.5894,0.8609,2
SYN0007,26,3.6089,29.11,1.5733,0.8522,1
SYN0007,27,3.6013,29.28,1.5705,0.8507,0
SYN0008,1,3.7075,20.79,1.844,1.0,4
SYN0008,2,3.6841,21.59,1.8466,1.0014,3
SYN0008,3,3.7023,22.18,1.8343,0.9947,2
SYN0008,4,3.6825,22.9,1.8107,0.982,1
SYN0008,5,3.4649,23.7,1.8109,0.982,0
SYN0009,1,3.715,13.6,1.8681,1.0,84
SYN0009,2,3.7006,14.16,1.8496,0.9901,83
SYN0009,3,3.6912,14.93,1.8425,0.9863,82
SYN0009,4,3.6969,14.74,1.8496,0.9901,81
SYN0009,5,3.6806,14.98,1.8429,0.9865,80
SYN0009,6,3.71,14.29,1.8232,0.976,79
SYN0009,7,3.6887,15.15,1.829,0.9791,78
SYN0009,8,3.6788,15.88,1.7986,0.9628,77
SYN0009,9,3.687,16.83,1.8049,0.9662,76
SYN0009,10,3.6783,17.45,1.7854,0.9557,75
SYN0009,11,3.6746,18.22,1.782,0.9539,74
SYN0009,12,3.6637,17.26,1.7799,0.9528,73
SYN0009,13,3.6708,17.74,1.7626,0.9435,72
SYN0009,14,3.6836,17.4,1.7583,0.9412,71
SYN0009,15,3.6796,18.26,1.7627,0.9436,70
SYN0009,16,3.6745,18.87,1.7391,0.9309,69
SYN0009,17,3.6549,19.6,1.7437,0.9334,68
SYN0009,18,3.6414,20.22,1.7165,0.9188,67
SYN0009,19,3.6523,19.75,1.7234,0.9225,66
SYN0009,20,3.654,20.33,1.7232,0.9224,65
SYN0009,21,3.6498,19.54,1.6777,0.898,64
SYN0009,22,3.6242,20.29,1.6847,0.9018,63
SYN0009,23,3.6577,21.0,1.6889,0.9041,62
SYN0009,24,3.6357,20.45,1.6729,0.8955,61
SYN0009,25,3.632,21.08,1.6696,0.8937,60
SYN0009,26,3.6204,21.0,1.6517,0.8841,59
SYN0009,27,3.6132,20.61,1.6494,0.8829,58
SYN0009,28,3.6345,21.2,1.6384,0.8771,57
SYN0009,29,3.6282,20.66,1.6422,0.8791,56
SYN0009,30,3.609,19.71,1.6249,0.8698,55
SYN0009,31,3.6064,19.09,1.6169,0.8655,54
SYN0009,32,3.6109,18.75,1.6012,0.8571,53
SYN0009,33,3.6279,19.48,1.5917,0.852,52
SYN0009,34,3.606,20.41,1.5835,0.8477,51
SYN0009,35,3.5933,19.97,1.5826,0.8472,50
SYN0009,36,3.6006,20.25,1.5662,0.8384,49
SYN0009,37,3.5997,20.05,1.5642,0.8373,48
SYN0009,38,3.578,21.01,1.5723,0.8416,47
SYN0009,39,3.598,21.09,1.5522,0.8309,46
SYN0009,40,3.5898,21.97,1.5322,0.8202,45
SYN0009,41,3.6009,21.2,1.5379,0.8232,44
SYN0009,42,3.6048,22.14,1.514,0.8104,43
SYN0009,43,3.5898,21.49,1.4899,0.7976,42
SYN0009,44,3.5762,22.42,1.4909,0.7981,41
SYN0009,45,3.5624,21.95,1.4741,0.7891,40
SYN0009,46,3.601,21.17,1.4797,0.7921,39
SYN0009,47,3.5741,21.04,1.4744,0.7893,38
SYN0009,48,3.5759,21.49,1.4813,0.793,37
SYN0009,49,3.5686,21.12,1.4599,0.7815,36
SYN0009,50,3.5664,21.33,1.446,0.7741,35
SYN0009,51,3.5634,21.36,1.4472,0.7747,34
SYN0009,52,3.5471,21.13,1.4098,0.7547,33
SYN0009,53,3.5519,21.28,1.4242,0.7624,32
SYN0009,54,3.5559,20.79,1.4205,0.7604,31
SYN0009,55,3.5412,21.21,1.3906,0.7444,30
SYN0009,56,3.5446,20.21,1.4066,0.7529,29
SYN0009,57,3.5476,21.06,1.3903,0.7442,28
SYN0009,58,3.5389,21.14,1.3744,0.7357,27
SYN0009,59,3.5569,21.58,1.3756,0.7364,26
SYN0009,60,3.5175,22.06,1.3823,0.7399,25
SYN0009,61,3.5458,22.4,1.3539,0.7247,24
SYN0009,62,3.5447,22.13,1.3458,0.7204,23
SYN0009,63,3.5066,21.27,1.3304,0.7122,22
SYN0009,64,3.5199,21.6,1.318,0.7055,21
SYN0009,65,3.5219,21.26,1.3251,0.7093,20
SYN0009,66,3.5036,20.89,1.3005,0.6962,19
SYN0009,67,3.5099,21.58,1.3006,0.6962,18
SYN0009,68,3.5021,22.02,1.2867,0.6888,17
SYN0009,69,3.5309,21.62,1.287,0.6889,16
SYN0009,70,3.5195,21.24,1.2769,0.6835,15
SYN0009,71,3.5222,21.06,1.2748,0.6824,14
SYN0009,72,3.5092,20.86,1.2515,0.6699,13
SYN0009,73,3.4886,20.45,1.245,0.6665,12
SYN0009,74,3.4897,19.71,1.2296,0.6582,11
SYN0009,75,3.4986,19.55,1.226,0.6563,10
SYN0009,76,3.4812,20.43,1.225,0.6557,9
SYN0009,77,3.4989,20.79,1.2198,0.653,8
SYN0009,78,3.4815,21.59,1.1953,0.6398,7
SYN0009,79,3.4828,21.82,1.2035,0.6442,6
SYN0009,80,3.4923,21.42,1.1993,0.642,5
SYN0009,81,3.484,21.52,1.1817,0.6326,4
SYN0009,82,3.4776,20.52,1.1868,0.6353,3
SYN0009,83,3.4819,20.09,1.1531,0.6173,2
SYN0009,84,3.4553,19.95,1.14,0.6102,1
SYN0009,85,3.4679,20.11,1.1262,0.6029,0
SYN0010,1,3.6948,25.48,2.0609,1.0,5
SYN0010,2,3.7057,24.9,2.0445,0.992,4
SYN0010,3,3.688,24.85,2.0439,0.9918,3
SYN0010,4,3.6742,25.65,2.0206,0.9804,2
SYN0010,5,3.6772,26.24,2.0359,0.9879,1
SYN0010,6,3.6934,25.58,2.0174,0.9789,0
SYN0011,1,3.704,32.15,1.8164,1.0,6
SYN0011,2,3.7054,31.82,1.8339,1.0097,5
SYN0011,3,3.7048,32.46,1.7974,0.9896,4
SYN0011,4,3.7044,32.96,1.8263,1.0054,3
SYN0011,5,3.6984,33.31,1.8068,0.9947,2
SYN0011,6,3.6904,32.76,1.7982,0.99,1
SYN0011,7,3.6902,32.16,1.7883,0.9845,0
SYN0012,1,3.7002,26.63,1.8041,1.0,5
SYN0012,2,3.6946,27.33,1.7775,0.9852,4
SYN0012,3,3.684,26.47,1.7723,0.9824,3
SYN0012,4,3.6851,26.3,1.7828,0.9882,2
SYN0012,5,3.6903,26.56,1.7692,0.9806,1
SYN0012,6,3.6747,25.95,1.7576,0.9742,0
SYN0013,1,3.6937,18.54,2.076,1.0,35
SYN0013,2,3.7098,18.85,2.0472,0.9861,34
SYN0013,3,3.705,17.86,2.0688,0.9965,33
SYN0013,4,3.6887,18.36,2.0562,0.9905,32
SYN0013,5,3.698,18.9,2.0471,0.9861,31
SYN0013,6,3.7016,18.12,2.0478,0.9865,30
SYN0013,7,3.6982,17.97,2.0481,0.9866,29
SYN0013,8,3.6723,17.32,2.0345,0.98,28
SYN0013,9,3.6702,18.24,1.998,0.9625,27
SYN0013,10,3.6747,18.27,1.997,0.962,26
SYN0013,11,3.6764,17.37,1.997,0.962,25
SYN0013,12,3.6834,16.87,1.997,0.962,24
SYN0013,13,3.6785,17.57,1.9953,0.9611,23
SYN0013,14,3.6576,17.48,1.9755,0.9516,22
SYN0013,15,3.6755,18.08,1.9782,0.9529,21
SYN0013,16,3.673,18.42,1.9616,0.9449,20
SYN0013,17,3.671,19.39,1.9563,0.9423,19
SYN0013,18,3.6718,19.58,1.9412,0.9351,18
SYN0013,19,3.6689,20.48,1.9394,0.9342,17
SYN0013,20,3.6619,21.27,1.9281,0.9288,16
SYN0013,21,3.6557,21.49,1.9252,0.9274,15
SYN0013,22,3.6439,21.93,1.9395,0.9342,14
SYN0013,23,3.6569,21.94,1.9118,0.9209,13
SYN0013,24,3.6634,22.6,1.9422,0.9356,12
SYN0013,25,3.6557,22.7,1.9132,0.9216,11
SYN0013,26,3.6373,23.49,1.9032,0.9168,10
SYN0013,27,3.6341,23.98,1.8855,0.9082,9
SYN0013,28,3.6582,23.93,1.8949,0.9128,8
SYN0013,29,3.6415,23.45,1.8748,0.9031,7
SYN0013,30,3.6488,22.94,1.8752,0.9033,6
SYN0013,31,3.6476,23.22,1.8937,0.9122,5
SYN0013,32,3.6377,23.75,1.8593,0.8956,4
SYN0013,33,3.6485,23.79,1.8654,0.8986,3
SYN0013,34,3.6265,24.05,1.8394,0.886,2
SYN0013,35,3.6326,23.59,1.8395,0.8861,1
SYN0013,36,3.6305,22.75,1.8514,0.8918,0
SYN0014,1,3.702,21.19,1.9015,1.0,55
SYN0014,2,3.6825,21.27,1.8941,0.9961,54
SYN0014,3,3.712,20.55,1.8905,0.9942,53
SYN0014,4,3.7097,20.01,1.8752,0.9862,52
SYN0014,5,3.6881,20.4,1.8832,0.9904,51
SYN0014,6,3.6811,20.81,1.854,0.975,50
SYN0014,7,3.6873,19.94,1.8521,0.974,49
SYN0014,8,3.6843,19.75,1.8411,0.9682,48
SYN0014,9,3.6905,19.84,1.8505,0.9732,47
SYN0014,10,3.6975,19.67,1.8299,0.9624,46
SYN0014,11,3.6754,19.08,1.8293,0.962,45
SYN0014,12,3.6589,18.92,1.7966,0.9448,44
SYN0014,13,3.6557,19.73,1.8047,0.9491,43
SYN0014,14,3.6613,19.9,1.8021,0.9477,42
SYN0014,15,3.6631,20.29,1.7857,0.9391,41
SYN0014,16,3.6817,21.01,1.7865,0.9395,40
SYN0014,17,3.651,21.54,1.7627,0.927,39
SYN0014,18,3.6615,21.3,1.7725,0.9322,38
SYN0014,19,3.6591,20.31,1.7724,0.9321,37
SYN0014,20,3.6604,20.01,1.7383,0.9142,36
SYN0014,21,3.6708,20.52,1.7289,0.9092,35
SYN0014,22,3.6432,21.23,1.7385,0.9142,34
SYN0014,23,3.6413,22.13,1.731,0.9103,33
SYN0014,24,3.6476,21.97,1.7023,0.8952,32
SYN0014,25,3.6415,22.47,1.6946,0.8912,31
SYN0014,26,3.6509,22.56,1.6873,0.8874,30
SYN0014,27,3.6323,22.77,1.6685,0.8775,29
SYN0014,28,3.6215,22.21,1.664,0.8751,28
SYN0014,29,3.628,21.65,1.6546,0.8701,27
SYN0014,30,3.6312,21.52,1.6482,0.8668,26
SYN0014,31,3.6278,20.58,1.6466,0.8659,25
SYN0014,32,3.6227,20.25,1.6405,0.8628,24
SYN0014,33,3.6296,20.61,1.6445,0.8648,23
SYN0014,34,3.6202,20.42,1.6115,0.8475,22
SYN0014,35,3.6256,19.75,1.6218,0.8529,21
SYN0014,36,3.6119,19.68,1.6017,0.8424,20
SYN0014,37,3.6015,18.94,1.5947,0.8386,19
SYN0014,38,3.6041,19.18,1.593,0.8378,18
SYN0014,39,3.6066,18.23,1.5672,0.8242,17
SYN0014,40,3.5882,18.02,1.573,0.8272,16
SYN0014,41,3.5966,18.15,1.5623,0.8216,15
SYN0014,42,3.5873,17.21,1.5568,0.8187,14
SYN0014,43,3.5882,17.49,1.5462,0.8131,13
SYN0014,44,3.6045,16.76,1.5583,0.8195,12
SYN0014,45,3.5816,16.69,1.5201,0.7994,11
SYN0014,46,3.5777,15.79,1.5125,0.7954,10
SYN0014,47,3.5606,15.54,1.503,0.7904,9
