battery,cycle,capacity_ah
B0005,1,1.85649
B0005,2,1.84633
B0005,3,1.83535
B0005,4,1.83526
B0005,5,1.83465
B0005,6,1.83566
B0005,7,1.83515
B0005,8,1.82576
B0005,9,1.82477
B0005,10,1.82461
B0005,11,1.82462
B0005,12,1.81420
B0005,13,1.81375
B0005,14,1.81344
B0005,15,1.80260
B0005,16,1.80211
B0005,17,1.80258
B0005,18,1.80307
B0005,19,1.80278
B0005,20,1.84703
B0005,21,1.84742
B0005,22,1.83618
B0005,23,1.82578
B0005,24,1.82511
B0005,25,1.82558
B0005,26,1.81403
B0005,27,1.81477
B0005,28,1.81397
B0005,29,1.80277
B0005,30,1.80408
B0005,31,1.85180
B0005,32,1.83070
B0005,33,1.81990
B0005,34,1.80931
B0005,35,1.80461
B0005,36,1.79938
B0005,37,1.78844
B0005,38,1.78292
B0005,39,1.77303
B0005,40,1.77304
B0005,41,1.76787
B0005,42,1.76232
B0005,43,1.76762
B0005,44,1.76267
B0005,45,1.75173
B0005,46,1.74185
B0005,47,1.73609
B0005,48,1.79362
B0005,49,1.78319
B0005,50,1.76736
B0005,51,1.75702
B0005,52,1.74687
B0005,53,1.74172
B0005,54,1.73642
B0005,55,1.72632
B0005,56,1.71581
B0005,57,1.71053
B0005,58,1.70601
B0005,59,1.70031
B0005,60,1.69458
B0005,61,1.68490
B0005,62,1.67447
B0005,63,1.67457
B0005,64,1.66372
B0005,65,1.65901
B0005,66,1.65385
B0005,67,1.64265
B0005,68,1.63786
B0005,69,1.63274
B0005,70,1.62775
B0005,71,1.62213
B0005,72,1.61133
B0005,73,1.60656
B0005,74,1.60151
B0005,75,1.59037
B0005,76,1.58579
B0005,77,1.58494
B0005,78,1.59553
B0005,79,1.57473
B0005,80,1.56490
B0005,81,1.55977
B0005,82,1.55948
B0005,83,1.55469
B0005,84,1.54887
B0005,85,1.53824
B0005,86,1.52791
B0005,87,1.52853
B0005,88,1.52265
B0005,89,1.51749
B0005,90,1.60582
B0005,91,1.56385
B0005,92,1.54809
B0005,93,1.53238
B0005,94,1.52695
B0005,95,1.51696
B0005,96,1.51190
B0005,97,1.50656
B0005,98,1.50155
B0005,99,1.49084
B0005,100,1.48587
B0005,101,1.48041
B0005,102,1.47521
B0005,103,1.48590
B0005,104,1.49609
B0005,105,1.48080
B0005,106,1.46975
B0005,107,1.45390
B0005,108,1.45415
B0005,109,1.45502
B0005,110,1.44904
B0005,111,1.43867
B0005,112,1.43345
B0005,113,1.43340
B0005,114,1.42806
B0005,115,1.42292
B0005,116,1.41743
B0005,117,1.41241
B0005,118,1.41258
B0005,119,1.40760
B0005,120,1.43339
B0005,121,1.43826
B0005,122,1.41735
B0005,123,1.40698
B0005,124,1.40120
B0005,125,1.39670
B0005,126,1.39128
B0005,127,1.38623
B0005,128,1.38044
B0005,129,1.37524
B0005,130,1.37051
B0005,131,1.37051
B0005,132,1.36474
B0005,133,1.37539
B0005,134,1.38611
B0005,135,1.36985
B0005,136,1.36478
B0005,137,1.35432
B0005,138,1.35464
B0005,139,1.35470
B0005,140,1.34931
B0005,141,1.34419
B0005,142,1.33899
B0005,143,1.33891
B0005,144,1.33401
B0005,145,1.32864
B0005,146,1.32317
B0005,147,1.31817
